,ARED
TVIS,0.6607905982905983
CEVIS,0.5726495726495727
MELFI,0.4353632478632478
Solar,0.42467948717948717
CIR,0.27136752136752135
Holter,0.2670940170940171
Ultrasound,0.2377136752136752
Actiwatch,0.23717948717948717
MSG,0.23717948717948717
EPM,0.2238247863247863
CGBA,0.19337606837606838
HRF-1,0.18589743589743588
CBEF,0.17681623931623933
EXPRESS Rack,0.15918803418803418
SLAMMD,0.14102564102564102
Mass Measurement Device,0.140491452991453
FPEF,0.13995726495726496
RC,0.13782051282051283
EDR,0.1330128205128205
FSL,0.1330128205128205
EMCS,0.12606837606837606
LMM,0.12553418803418803
PFS,0.11271367521367522
MWA,0.11271367521367522
MSL,0.11164529914529915
PCRF,0.10950854700854701
CB,0.10523504273504272
SCOF,0.0950854700854701
Holter Monitor 2,0.09081196581196581
FIR,0.08974358974358974
WORF,0.08440170940170941
MSPR,0.08333333333333334
Portable Pulmonary Function System,0.06356837606837606
PCBA,0.06196581196581197
MERLIN,0.057158119658119656
MARES,0.056623931623931624
IPU,0.05555555555555556
DECLIC,0.05555555555555556
GLACIER,0.047008547008547015
Ultrasound 2,0.047008547008547015
UMS,0.04433760683760684
GHF,0.038461538461538464
TEPC,0.034188034188034185
Veggie,0.02938034188034188
Spectrum,0.028311965811965812
SABL,0.027243589743589744
Polar,0.02670940170940171
Ryutai,0.026175213675213672
ELC,0.02564102564102564
ELF,0.025106837606837608
Saibo,0.024572649572649572
EuTEF,0.02403846153846154
MAMS,0.020299145299145296
MVIS,0.019230769230769232
ABRS,0.018696581196581196
Astrobee,0.017628205128205128
Aquatic Habitat,0.016025641025641028
GN2,0.016025641025641028
HRF-2,0.016025641025641028
Double Coldbag,0.015491452991452992
Plant Habitat,0.01388888888888889
MSRR-1,0.01282051282051282
BXF,0.01282051282051282
J-SSOD,0.011217948717948718
CBEF-L,0.011217948717948718
KFT,0.009615384615384616
COLBERT,0.009615384615384616
Kubik,0.009081196581196582
Manufacturing Device,0.008547008547008546
CBPD,0.008547008547008546
Actiwatch Spectrum,0.008012820512820514
JEM-EF,0.007478632478632479
RAM,0.007478632478632479
MVP,0.00641025641025641
NanoRacks CubeSat Deployer,0.00641025641025641
Bio-Monitor,0.00641025641025641
FROST,0.005876068376068377
LSR,0.005341880341880342
Bone Densitometer,0.005341880341880342
EML,0.005341880341880342
Life Science Glovebox (LSG),0.004807692307692308
NanoRacks Plate Reader,0.004273504273504273
ETC,0.004273504273504273
SUBSA,0.004273504273504273
BioLab,0.0037393162393162395
SoFIE,0.0037393162393162395
TangoLab-1,0.0037393162393162395
Mochii,0.0037393162393162395
FRIDGE,0.003205128205128205
TangoLab-2,0.003205128205128205
Iceberg,0.003205128205128205
ABS,0.003205128205128205
PGB,0.003205128205128205
Cold Atom Lab,0.003205128205128205
SAMS-II,0.003205128205128205
Cyclops,0.003205128205128205
MISSE-FF,0.003205128205128205
TELLAS,0.003205128205128205
NanoRacks External Platform,0.002670940170940171
iRED,0.002670940170940171
BRIC,0.002670940170940171
ICE Cubes Facility,0.002670940170940171
EFU Adapter,0.002670940170940171
CCE,0.002670940170940171
KERMIT,0.0021367521367521365
Confocal Microscope,0.0021367521367521365
IPU2,0.0021367521367521365
ADSEP,0.0021367521367521365
Cryo Chiller,0.0016025641025641025
Bioculture System Facility,0.0016025641025641025
NanoRacks Platforms,0.0016025641025641025
Bio-Analyzer,0.0016025641025641025
EXHAM Facility,0.0016025641025641025
SlingShot,0.0016025641025641025
HSRC,0.0016025641025641025
CellCult,0.0010683760683760683
Bartolomeo,0.0010683760683760683
MUSES,0.0010683760683760683
Glovebox Freezer,0.0005341880341880341
Fruit Fly Lab,0.0005341880341880341
SALI,0.0005341880341880341
Nanoracks Airlock,0.0005341880341880341
JAXA Mouse Habitat Unit,0.0005341880341880341
Wet Lab RNA SmartCycler,0.0005341880341880341
BSTC,0.0005341880341880341
Rodent Research Facility,0.0005341880341880341
GASMAP,0.0005341880341880341
SCAN Testbed (Facility),0.0
Wet Lab Kit,0.0
Wearable Monitoring Facility,0.0
BioServe Microscope,0.0
Bioimpedance Analyzer,0.0
ADF,0.0
Biotube,0.0
BioServe Centrifuge,0.0
SPACE DREAMS Facility,0.0
BioFabrication Facility (BFF),0.0
BioChip SpaceLab,0.0
ARCTIC,0.0
SPHERES (Facility),0.0
SPySE,0.0
STaARS-1 EF,0.0
ADSEP-2,0.0
AEM,0.0
ALTEA Facility,0.0
BTR,0.0
APCF,0.0
BIOKON,0.0
Astro Garden,0.0
Acoustic Diagnostics Facility,0.0
Programmable Isolation Mount,0.0
PCG-STES,0.0
CRIM-M,0.0
Carbon Dioxide Meter,0.0
GAP-FPA,0.0
MSPR-2,0.0
GCF,0.0
Galley Refrigerator-Freezer,0.0
MQ-Warmchain,0.0
MOBIAS,0.0
MIS Fiber,0.0
HGD-PFD,0.0
HPA Facility,0.0
MDS Facility,0.0
Hermes Facility,0.0
ISERV (Facility),0.0
LIDAL Facility,0.0
In Situ Chemiluminescent Reader,0.0
KOBAIRO Rack,0.0
Faraday Research Facility,0.0
FPC,0.0
ELITE-S2 Facility,0.0
DDVS,0.0
Columbus-EPF,0.0
PFMI Facility,0.0
PERSEO Facility,0.0
Nanoracks Nanode,0.0
NanoRacks-extCygnus-NRCSD,0.0
NanoRacks-GoPro Fusion,0.0
NanoRacks Microscopes,0.0
MicroPREP,0.0
NanoRacks Microsat Deployer,0.0
EDR-2,0.0
NanoRacks Astrium Centrifuge,0.0
EFU Adapter2,0.0
Mobile SpaceLab,0.0
Mini Coldbag,0.0
ISS Ham Radio (ARISS),0.0
