Report Date,ABRS,ABS,Acoustic Diagnostics Facility,Actiwatch,Actiwatch Spectrum,ADF,ADSEP,ADSEP-2,AEM,ALTEA Facility,Manufacturing Device,APCF,Aquatic Habitat,ARCTIC,ARED,Astro Garden,Astrobee,Bartolomeo,Bio-Analyzer,BioChip SpaceLab,Bioculture System Facility,BFF,Bioimpedance Analyzer,BIOKON,BioLab,Bio-Monitor,BioServe Centrifuge,BioServe Microscope,Biotube,Bone Densitometer,BRIC,BSTC,BTR,BXF,Carbon Dioxide Meter,CB,CBEF,CBEF-L,CBPD,CCE,CellCult,CEVIS,CGBA,CIR,COLBERT,Cold Atom Lab,Columbus-EPF,Confocal Microscope,CRIM-M,Cryo Chiller,Cyclops,DDVS,DECLIC,Double Coldbag,EDR,EDR-2,EFU Adapter,EFU Adapter2,ELC,ELF,ELITE-S2 Facility,EMCS,EML,EPM,ETC,EuTEF,EXHAM Facility,EXPRESS Rack,Faraday Research Facility,FIR,FPC,FPEF,Galley Refrigerator-Freezer,FROST,Fruit Fly Lab,FSL,GASMAP,GAP-FPA,GCF,GLACIER,Glovebox Freezer,GN2,GHF,Hermes Facility,HGD-PFD,Holter,Holter Monitor 2,HPA Facility,HRF-1,HRF-2,HSRC,ICE Cubes Facility,Iceberg,In Situ Chemiluminescent Reader,IPU,IPU2,iRED,ISERV,ARISS,JAXA Mouse Habitat Unit,JEM-EF,J-SSOD,KERMIT,KFT,KOBAIRO Rack,Kubik,LIDAL Facility,LSG,LMM,LSR,MAMS,MARES,Mass Measurement Device,MDS Facility,MELFI,MERLIN,MicroPREP,Mini Coldbag,MIS Fiber,MISSE-FF,MOBIAS,Mobile SpaceLab,Mochii,MQ-Warmchain,MSG,MSL,MSPR,MSPR-2,MSRR-1,MUSES,MVIS,MVP,MWA,Nanoracks Airlock,NanoRacks Astrium Centrifuge,NanoRacks CubeSat Deployer,NanoRacks External Platform,NanoRacks Microsat Deployer,NanoRacks Microscopes,Nanoracks Nanode,NanoRacks Plate Reader,NanoRacks Platforms,NanoRacks-extCygnus-NRCSD,NanoRacks-GoPro Fusion,PCBA,PCG-STES,PCRF,PERSEO Facility,PFMI Facility,PFS,PGB,Plant Habitat,Polar,Portable Pulmonary Function System,Programmable Isolation Mount,RAM,RC,Rodent Research Facility,Ryutai,SABL,Saibo,SALI,SAMS-II,SCAN Testbed,SCOF,SLAMMD,SlingShot,SoFIE,Solar,SUBSA,SPACE DREAMS Facility,Spectrum,SPHERES,SPySE,STaARS-1 EF,TangoLab-1,TangoLab-2,TELLAS,TEPC,TVIS,Ultrasound,Ultrasound 2,UMS,Veggie,Wearable Monitoring Facility,Wet Lab Kit,Wet Lab RNA SmartCycler,WORF
2009-12-31,20,0,0,161,0,0,0,0,0,0,0,0,0,0,337,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,34,71,0,14,0,0,268,104,91,18,0,0,0,0,0,0,0,9,2,54,0,0,0,3,0,0,56,0,97,6,54,0,96,0,13,0,65,0,2,0,65,0,0,0,41,0,3,0,0,0,119,53,0,142,9,0,0,1,0,34,0,13,0,8,0,13,0,0,4,0,2,0,0,12,0,3,0,65,4,153,23,0,0,0,0,0,0,0,0,100,17,0,0,8,0,6,0,16,0,0,0,0,0,0,0,0,0,0,0,50,0,53,0,0,29,5,0,4,13,0,2,29,0,7,0,32,0,3,0,16,51,0,0,315,0,0,9,61,0,0,0,0,0,18,334,104,0,0,0,0,0,0,11
2010-12-31,12,0,0,155,0,0,0,0,0,0,0,0,0,0,353,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,1,0,0,0,60,85,0,0,1,0,247,96,117,0,0,0,0,0,0,0,0,56,8,80,0,0,0,9,0,0,62,0,82,4,0,0,50,0,28,0,70,0,1,0,68,0,0,0,28,0,19,0,0,0,120,30,0,126,3,0,0,0,0,20,0,1,0,7,0,0,0,0,3,0,38,0,0,58,0,1,15,78,0,135,25,0,0,0,0,0,0,0,0,117,64,0,0,11,0,7,0,34,0,0,0,0,0,0,0,0,0,0,0,27,0,54,0,0,45,1,0,7,35,0,0,45,0,22,0,54,0,0,0,56,76,1,0,303,0,0,2,60,0,0,0,0,0,15,336,105,0,1,0,0,0,0,16
2011-12-31,0,0,0,53,2,0,0,0,0,0,0,0,0,0,332,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,55,0,50,64,0,1,2,0,250,104,112,0,0,0,7,0,0,0,0,19,0,66,0,0,0,8,0,0,55,0,98,0,0,0,59,0,62,0,67,0,1,0,60,1,0,0,37,0,2,43,0,0,127,33,0,34,8,0,0,0,0,16,0,0,0,1,0,0,0,0,2,28,51,0,0,80,0,2,25,80,0,122,22,0,0,0,0,0,0,0,0,67,57,25,0,5,0,14,2,28,0,0,0,0,0,0,0,0,0,0,0,25,0,51,0,0,62,0,6,16,28,0,3,52,0,58,0,52,0,0,0,49,68,0,0,142,0,0,5,64,0,0,0,0,0,10,256,111,11,29,0,0,0,0,72
2012-12-31,2,0,0,68,11,0,0,0,0,0,0,0,26,0,338,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,51,0,53,63,0,2,2,0,279,71,112,0,0,0,4,0,0,0,0,19,2,55,0,0,0,8,0,0,58,0,131,0,0,0,71,0,40,0,64,0,0,0,57,0,0,0,76,0,1,24,0,0,142,58,0,52,5,0,0,0,0,25,0,0,0,5,0,0,0,0,6,15,51,0,0,55,0,34,57,82,0,155,10,0,0,0,0,0,0,0,0,81,54,75,0,0,0,9,0,38,0,0,0,0,0,0,0,5,4,0,0,15,0,53,0,0,103,0,0,13,39,0,5,107,0,61,0,51,0,3,18,56,71,0,0,85,0,0,35,69,0,0,0,0,0,9,345,274,31,56,0,0,0,0,39
2013-12-31,7,0,0,14,1,0,0,0,0,0,0,0,3,0,37,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,6,0,0,0,0,4,2,0,0,0,0,17,3,37,0,0,0,0,0,0,0,0,2,0,0,0,0,0,20,0,0,8,0,5,0,0,0,12,0,7,0,15,0,2,0,4,0,0,0,13,0,2,8,0,0,17,2,0,1,0,0,0,0,0,2,0,0,4,0,0,0,3,0,1,4,0,0,0,7,0,0,0,9,0,72,6,0,0,0,0,0,0,0,0,26,6,26,0,0,0,0,0,24,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,13,0,0,0,4,0,4,15,0,3,0,1,0,0,0,3,13,0,0,13,0,0,20,45,0,0,0,0,0,0,5,61,21,0,0,0,0,0,7
2014-12-31,3,0,0,11,3,0,0,0,0,0,0,0,13,0,57,0,0,0,0,0,0,0,0,0,20,0,0,0,4,2,4,0,0,0,0,16,28,0,0,0,0,14,12,60,0,0,0,0,0,0,8,0,4,6,13,0,0,0,10,0,0,15,15,15,0,0,0,23,0,25,0,5,0,3,1,5,0,0,0,25,0,1,10,0,0,10,0,0,0,0,0,0,0,0,6,0,0,11,1,0,0,0,0,0,1,9,0,0,12,0,0,4,5,0,111,8,0,0,0,0,0,0,0,0,25,10,22,0,0,0,0,0,31,0,0,4,0,0,3,0,2,1,0,0,0,0,4,0,0,8,0,0,0,5,0,8,11,0,4,0,7,0,0,4,3,9,0,0,33,0,0,20,47,0,0,0,0,0,6,0,83,18,0,7,0,0,0,5
2015-12-31,2,0,0,16,5,0,0,0,0,0,0,0,6,0,45,0,0,0,0,0,0,0,0,0,24,0,0,0,0,15,4,0,0,0,0,4,44,0,1,0,0,8,4,38,0,0,0,0,0,0,0,0,0,1,2,0,0,0,6,1,0,3,5,8,6,0,3,26,0,8,0,9,0,6,2,0,0,0,0,15,0,0,0,0,0,21,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,10,0,0,0,17,0,0,8,0,0,6,0,0,139,13,0,0,0,0,0,0,0,0,34,0,16,4,0,0,0,0,25,0,0,7,0,0,0,0,3,2,0,0,0,0,3,0,0,18,0,0,13,13,0,9,22,0,7,0,3,0,0,0,10,3,0,0,11,0,0,18,41,0,0,0,0,0,3,0,75,15,0,21,0,0,0,3
2016-12-31,0,0,0,18,4,0,0,0,0,0,8,0,0,0,54,0,0,0,0,0,0,0,0,0,5,0,0,0,0,11,3,0,0,0,0,4,49,0,0,1,0,7,5,35,0,0,0,0,0,0,7,0,2,2,4,0,3,0,13,40,0,11,2,12,2,0,2,28,0,8,0,7,0,3,0,8,0,0,0,10,0,3,0,0,0,42,0,0,0,0,0,0,0,0,7,0,0,0,1,1,1,9,0,0,0,10,0,0,5,0,0,16,0,0,124,8,0,0,0,0,0,0,0,0,52,23,42,0,0,0,0,0,22,0,0,8,4,0,0,0,2,0,0,0,0,0,3,0,0,22,0,0,16,12,0,9,41,0,4,18,5,0,1,1,1,0,0,0,30,0,0,12,26,0,0,0,0,0,8,0,103,41,0,11,0,0,6,16
2017-12-31,9,1,0,3,1,0,13,0,0,0,10,0,0,0,56,0,3,0,0,0,6,0,0,0,20,0,0,0,0,8,6,0,0,0,0,2,34,0,0,0,10,47,0,35,0,0,0,0,0,0,1,0,7,9,5,0,7,0,10,51,0,8,7,5,0,0,0,36,0,36,0,0,0,16,1,4,0,0,0,35,0,8,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,3,1,7,0,0,34,1,0,31,2,0,150,23,0,0,0,0,0,0,0,0,55,11,64,0,1,4,4,0,43,0,0,1,4,0,0,0,0,0,0,0,0,0,3,0,0,43,0,10,20,6,1,17,44,0,1,36,1,0,0,0,4,5,0,0,35,0,0,15,33,0,1,11,4,0,13,0,85,38,0,32,0,0,0,15
2018-12-31,0,11,0,5,3,0,0,0,0,0,14,0,0,0,56,0,0,0,0,0,3,0,0,0,18,0,0,0,0,8,3,0,0,0,0,4,36,0,0,4,0,38,1,46,0,2,0,0,0,0,2,0,6,15,1,0,4,0,6,31,0,17,7,9,0,0,2,44,0,17,0,1,0,6,0,11,0,0,0,28,0,4,0,0,0,6,0,0,3,5,8,3,0,0,0,0,0,0,1,0,2,6,0,1,1,12,0,17,35,12,0,5,5,0,149,13,0,0,2,10,0,0,0,0,45,7,25,0,4,5,0,20,59,0,0,0,3,1,0,0,0,2,0,0,0,0,2,0,0,22,0,47,17,1,0,9,22,0,6,31,3,0,1,0,1,3,0,0,26,19,0,33,30,0,0,5,6,0,6,0,39,19,0,63,0,0,0,9
2019-12-31,0,0,0,4,2,0,6,0,1,0,0,0,0,0,46,0,19,2,4,0,2,24,0,0,3,19,0,0,0,6,0,0,0,0,0,8,35,13,0,0,0,20,0,29,0,0,0,0,0,12,0,0,0,8,1,0,1,0,10,16,0,0,11,6,7,0,5,32,0,9,0,5,0,4,0,2,0,0,0,19,7,3,0,2,0,10,0,0,1,0,0,4,0,0,8,0,0,0,1,0,4,5,0,0,0,20,0,26,15,20,0,0,16,0,137,18,0,0,1,14,0,0,0,0,24,8,16,0,2,2,0,9,58,0,0,2,2,0,0,0,0,3,1,0,0,0,1,0,0,13,1,0,24,1,0,1,0,0,1,16,12,0,3,1,6,3,7,0,27,4,0,35,11,0,0,3,4,0,2,0,47,19,0,40,0,0,0,5
2020-12-31,0,0,0,5,0,0,1,0,0,0,4,0,0,0,51,0,31,6,0,0,0,7,0,0,1,7,0,0,0,3,0,0,0,0,0,4,22,29,1,0,2,28,1,26,0,3,0,4,0,3,4,0,0,12,4,0,6,0,2,19,0,0,6,9,9,0,6,24,0,5,0,1,0,6,0,8,0,0,0,16,0,2,0,0,0,7,0,0,3,2,0,1,3,0,0,0,0,0,0,0,2,4,0,0,0,3,0,16,6,6,0,0,1,0,103,11,0,0,0,5,0,2,3,0,32,12,4,0,0,1,0,9,33,4,0,10,1,0,0,0,0,3,0,0,0,0,0,0,0,8,0,6,18,0,0,5,1,0,1,19,7,0,2,0,1,1,6,0,19,1,0,10,4,0,0,3,10,0,0,0,51,17,2,17,0,0,0,0
2021-12-31,0,0,0,15,0,0,0,1,0,1,23,0,0,0,47,0,41,2,5,0,4,0,0,0,9,13,0,0,0,0,3,0,0,0,0,1,38,20,0,0,0,43,0,50,11,1,0,9,0,0,0,0,1,14,1,0,7,0,3,21,0,0,4,18,1,0,0,66,1,15,0,3,1,4,0,10,0,0,0,16,0,3,3,0,0,7,0,0,7,10,0,3,17,0,10,5,0,0,1,0,0,10,12,0,1,13,2,25,7,4,0,0,1,0,152,20,0,0,0,4,0,0,9,0,42,13,5,0,6,1,0,2,47,4,0,4,0,0,0,0,0,3,0,0,0,0,3,0,0,20,0,21,23,0,0,0,0,3,6,38,6,5,6,0,9,1,1,0,42,23,0,7,1,0,0,2,5,3,6,0,48,22,0,34,0,0,0,2
2022-12-31,0,0,0,13,0,0,0,0,0,0,1,0,0,3,68,0,36,0,0,0,0,0,0,0,15,16,0,0,0,0,1,0,0,0,0,6,25,27,2,0,0,30,0,29,0,4,0,6,0,4,0,0,2,17,4,0,6,0,7,15,0,0,10,17,0,0,1,54,0,5,0,2,0,3,0,6,0,0,0,6,1,7,5,0,0,4,0,0,6,0,0,7,17,0,3,5,0,0,0,0,0,13,11,0,0,9,0,30,0,17,0,1,0,0,139,5,0,0,0,2,0,0,11,0,46,8,21,0,2,2,0,4,43,6,0,0,0,0,0,0,1,1,0,0,0,0,2,0,2,6,0,16,23,0,0,0,0,3,2,29,6,1,1,0,4,1,0,23,60,0,0,17,1,3,0,4,8,5,2,0,48,22,0,29,0,0,0,10
